temperature,humidity,label
-20.0000,2.0042,Không hợp lệ
-19.9400,77.2787,Không hợp lệ
-19.8799,24.1266,Không hợp lệ
-19.8199,32.2178,Không hợp lệ
-19.7599,72.7769,Không hợp lệ
-19.6998,57.1163,Không hợp lệ
-19.6398,56.4598,Không hợp lệ
-19.5798,25.8654,Không hợp lệ
-19.5198,71.7174,Không hợp lệ
-19.4597,80.3699,Không hợp lệ
-19.3997,45.4675,Không hợp lệ
-19.3397,40.8666,Không hợp lệ
-19.2796,77.9551,Không hợp lệ
-19.2196,21.0602,Không hợp lệ
-19.1596,27.5393,Không hợp lệ
-19.0995,56.7009,Không hợp lệ
-19.0395,10.9305,Không hợp lệ
-18.9795,60.2844,Không hợp lệ
-18.9195,23.8682,Không hợp lệ
-18.8594,49.5716,Không hợp lệ
-18.7994,81.7592,Không hợp lệ
-18.7394,6.4809,Không hợp lệ
-18.6793,2.5286,Không hợp lệ
-18.6193,75.6447,Không hợp lệ
-18.5593,54.2653,Không hợp lệ
-18.4992,26.1294,Không hợp lệ
-18.4392,53.7269,Không hợp lệ
-18.3792,11.3099,Không hợp lệ
-18.3192,46.9120,Không hợp lệ
-18.2591,95.8272,Không hợp lệ
-18.1991,92.9481,Không hợp lệ
-18.1391,31.7552,Không hợp lệ
-18.0790,69.8404,Không hợp lệ
-18.0190,47.7037,Không hợp lệ
-17.9590,62.2251,Không hợp lệ
-17.8989,81.3708,Không hợp lệ
-17.8389,26.8578,Không hợp lệ
-17.7789,15.0392,Không hợp lệ
-17.7189,3.9394,Không hợp lệ
-17.6588,57.2763,Không hợp lệ
-17.5988,54.8359,Không hợp lệ
-17.5388,55.4093,Không hợp lệ
-17.4787,17.0909,Không hợp lệ
-17.4187,26.1889,Không hợp lệ
-17.3587,63.3620,Không hợp lệ
-17.2986,78.4959,Không hợp lệ
-17.2386,74.9068,Không hợp lệ
-17.1786,47.7818,Không hợp lệ
-17.1186,45.3094,Không hợp lệ
-17.0585,7.4305,Không hợp lệ
-16.9985,84.6569,Không hợp lệ
-16.9385,12.1056,Không hợp lệ
-16.8784,77.9453,Không hợp lệ
-16.8184,20.9076,Không hợp lệ
-16.7584,6.7829,Không hợp lệ
-16.6983,43.7470,Không hợp lệ
-16.6383,4.6181,Không hợp lệ
-16.5783,33.3935,Không hợp lệ
-16.5183,78.9055,Không hợp lệ
-16.4582,57.7657,Không hợp lệ
-16.3982,92.8986,Không hợp lệ
-16.3382,40.9096,Không hợp lệ
-16.2781,31.2330,Không hợp lệ
-16.2181,34.7031,Không hợp lệ
-16.1581,56.9345,Không hợp lệ
-16.0980,40.7668,Không hợp lệ
-16.0380,33.8917,Không hợp lệ
-15.9780,69.7181,Không hợp lệ
-15.9180,3.8970,Không hợp lệ
-15.8579,27.7734,Không hợp lệ
-15.7979,25.0286,Không hợp lệ
